ZDB-FISH-060608-1,t30230,;Adult: behavior (abnormal); drug resistance (abnormal); ,,"Assay: Amphetamine<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-39"">Laure Bally-Cuif</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-15"">Jovica Ninkovic</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-236,t30167,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-237,t30169,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-238,t30197,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-239,t30199,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-24,t30878,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-240,t30200,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-241,t30267,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglia. <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglia.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-242,t30335,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Fewer microglial cells <b>Details:</b>,"Assay: Macrophage migration<br>Description: Fewer microglial cells<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-243,t30336,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,"Fewer microglial cells\"";"" only in one embryo. <b>Details:</b>","Assay: Macrophage migration<br>Description: Fewer microglial cells\"";"" only in one embryo.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-244,t30292,;muscle cell differentiation (abnormal); Protruding-mouth: pectoral fin musculature decreased (abnormal); ,fewer muscles in pectoral fins <b>Details:</b>,"Assay: Satellite cells<br>Description: fewer muscles in pectoral fins<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-12"">Holger Knaut</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-245,t301394,;Adult: ceratobranchial 5 tooth malformed (abnormal); ,"fifth brachial arch not ossified -- do not know if present. However\"";"" gill rakers are initiated in the absence of stained arch. Main teeth are absent. <b>Details:</b>","Assay: Dermal Bone<br>Description: fifth brachial arch not ossified -- do not know if present. However\"";"" gill rakers are initiated in the absence of stained arch. Main teeth are absent.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-246,t30743,;Adult: fins degenerate (abnormal); ,fin degeneration mutant -- caudal fin. <b>Details:</b>,"Assay: Dermal Bone<br>Description: fin degeneration mutant -- caudal fin.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-247,t30438,;Adult: fins degenerate (abnormal); ,fin degeneration mutant. Specific to caudal fin. <b>Details:</b>,"Assay: Dermal Bone<br>Description: fin degeneration mutant. Specific to caudal fin.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-248,t30870,;Day 5: caudal fin necrotic (abnormal); ,Fin fold necrotic. <b>Details:</b>,"Assay: Skin 1<br>Description: Fin fold necrotic.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-249,t30508,;Day 5: pectoral fin thick (abnormal); ,"fin fold reduced considerably\"";"" similar to other fin fold mutants. In addition\"";"" pec fins are formed but appear thick and deformed. <b>Details:</b>","Assay: Skin 1<br>Description: fin fold reduced considerably\"";"" similar to other fin fold mutants. In addition\"";"" pec fins are formed but appear thick and deformed.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-25,t30879,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-250,t30831,;Day 5: caudal fin necrotic (abnormal); ,Fin fold reduced considerably. <b>Details:</b>,"Assay: Skin 1<br>Description: Fin fold reduced considerably.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-251,t30866,;Adult: fins small size (abnormal); ,fin half sized <b>Details:</b>,"Assay: Dermal Bone<br>Description: fin half sized<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-252,t30629,;Adult: pectoral fin small size (abnormal); ,"Fin mutation: pectoral\"";"" anal\"";"" pelvic\"";"" caudal fins reduced. <b>Details:</b>","Assay: Dermal Bone<br>Description: Fin mutation: pectoral\"";"" anal\"";"" pelvic\"";"" caudal fins reduced.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-253,t30534,;Adult: fins small size (abnormal); ,fin reduction. Anal fin severely reduced; dorsal half size. Caudal may actually be larger. <b>Details:</b>,"Assay: Dermal Bone<br>Description: fin reduction. Anal fin severely reduced; dorsal half size. Caudal may actually be larger.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-254,t30742,;Adult: fins small size (abnormal); ,"fin shape\"";""  3/4 size <b>Details:</b>","Assay: Dermal Bone<br>Description: fin shape\"";""  3/4 size<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-255,t30437,;Adult: fins shape (abnormal); ,"fin shape. Dorsal\"";"" anal and caudal fin altered shape. <b>Details:</b>","Assay: Dermal Bone<br>Description: fin shape. Dorsal\"";"" anal and caudal fin altered shape.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-256,t30530,;Adult: fins shape (abnormal); ,fin shape. Pectoral fins torn up. Postlobe of caudal fin shorter as well. <b>Details:</b>,"Assay: Dermal Bone<br>Description: fin shape. Pectoral fins torn up. Postlobe of caudal fin shorter as well.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-257,t30633,;Adult: median fin skeleton shape (abnormal); ,"fin tattered. Looks like previous mt found\"";"" only in anal fin though. <b>Details:</b>","Assay: Dermal Bone<br>Description: fin tattered. Looks like previous mt found\"";"" only in anal fin though.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-258,t30453,;Adult: fins shape (abnormal); ,fins shape. Clear mutant. <b>Details:</b>,"Assay: Dermal Bone<br>Description: fins shape. Clear mutant.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-259,t30515,;Day 4: neuromasts increased number (abnormal); regulation of cell migration (abnormal); ,"First and last PLL NM present\"";"" middle ones missing <b>Details:</b>","Assay: Lateral line<br>Description: First and last PLL NM present\"";"" middle ones missing<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-971209-58"">Darren Gilmour</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-26,t30880,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-260,t30229,;Day 4: neuromasts increased number (abnormal); regulation of cell migration (abnormal); ,first neuromast ventrally duplicated <b>Details:</b>,"Assay: Lateral line<br>Description: first neuromast ventrally duplicated<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-971209-58"">Darren Gilmour</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-261,t30676,;Adult: caudal fin structure (abnormal); growth (abnormal); ,fish missing middle of clipped edge of caudal fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish missing middle of clipped edge of caudal fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-262,t30664,;Adult: caudal fin pattern (abnormal); growth (abnormal); ,Fish missing piece of fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: Fish missing piece of fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-263,t30667,;Adult: caudal fin pattern (abnormal); growth (abnormal); ,fish missing piece of fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish missing piece of fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-264,t30668,;Adult: caudal fin structure (abnormal); growth (abnormal); ,fish missing piece of fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish missing piece of fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-265,t31027,;Adult: caudal fin structure (abnormal); growth (abnormal); ,fish missing piece of fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish missing piece of fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-266,t30772,;Adult: fins shape (abnormal); growth (abnormal); ,fish with deterioration of fin edge <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish with deterioration of fin edge<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-267,t30678,;Adult: caudal fin structure (abnormal); growth (abnormal); ,fish with missing piece or tear in fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish with missing piece or tear in fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-268,t30670,;Adult: caudal fin structure (abnormal); growth (abnormal); ,Fish with nick in tail <b>Details:</b>,"Assay: Regeneration 2<br>Description: Fish with nick in tail<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-269,t30784,;Adult: caudal fin structure (abnormal); growth (abnormal); ,fish with notch in amputation plane of fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish with notch in amputation plane of fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-27,t30897,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-270,t30771,;Adult: caudal fin shape (abnormal); growth (abnormal); ,fish with possible deterioration of fin edge <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish with possible deterioration of fin edge<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-271,t30665,;Adult: caudal fin pattern (abnormal); growth (abnormal); ,fish with small tail deformity <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish with small tail deformity<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-272,t30671,;Adult: caudal fin structure (abnormal); growth (abnormal); ,fish with tattered caudal fins <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish with tattered caudal fins<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-273,t30679,;Adult: caudal fin malformed (abnormal); growth (abnormal); ,fish with tattered fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: fish with tattered fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
